,production_companies
332,"Paramount Pictures,Toho-Towa,Mutual Film Company,Lawrence Gordon Productions,British Broadcasting Corporation (BBC),Marubeni,Eidos Interactive"
333,"Alcon Entertainment,Syncopy,DMG Entertainment,Straight Up Films"
334,"Universal Studios,Amblin Entertainment"
335,"Ingenious Film Partners,Ingenious Media,Twentieth Century Fox Film Corporation,Dune Entertainment,Dune Entertainment III,Chernin Entertainment,Big Screen Productions"
336,"Paramount Pictures,The Kennedy/Marshall Company"
337,"Ingenious Media,Twentieth Century Fox Film Corporation,Dune Entertainment,Mid Atlantic Films,Big Screen Productions,Temple Hill Entertainment,TSG Entertainment,Giant Pictures,Origo Film Group"
338,"Imagine Entertainment,Touchstone Pictures"
339,"Walt Disney Pictures,Pixar Animation Studios"
340,"Le Studio Canal+,Laurence Mark Productions,Metro-Goldwyn-Mayer (MGM),Carolco Pictures"
341,"Ingenious Film Partners,1492 Pictures,Dune Entertainment,Fox 2000 Pictures,Sunswept Entertainment,Dune Entertainment III,Big Screen Productions,TCF Vancouver Productions"
342,"Amblin Entertainment,Columbia Pictures Corporation,Parkes+MacDonald Image Nation"
343,Pixar Animation Studios
344,"Twentieth Century Fox Film Corporation,Scott Free Productions,Firm Films,Prospect Park,Millbrook Farm Productions"
345,New Line Cinema
346,"DreamWorks SKG,Twentieth Century Fox Film Corporation,ImageMovers"
347,"Columbia Pictures,Sony Pictures Animation"
348,"Blue Sky Studios,Twentieth Century Fox Animation"
349,"New Line Cinema,Ingenious Media,Twentieth Century Fox Film Corporation,Samuel Goldwyn Films,Big Screen Productions,Red Hour Films,TSG Entertainment,Down Productions"
350,Columbia Pictures
351,"Vertigo Entertainment,Media Asia Films,Warner Bros.,Initial Entertainment Group (IEG),Plan B Entertainment"
352,"Walt Disney Pictures,Walt Disney Feature Animation"
353,"DreamWorks SKG,Goldcrest Pictures,Red Hour Films,Internationale Filmproduktion Stella-del-Sud Second"
354,"Columbia Pictures,Scott Rudin Productions,Film Rites,Metro-Goldwyn-Mayer (MGM),Yellow Bird,Ground Control"
355,"Twentieth Century Fox Film Corporation,Cinergi Pictures Entertainment"
356,"Village Roadshow Pictures,Silver Pictures,Warner Bros.,Internationale Filmproduktion Blackbird Dritte,Wigram Productions"
357,"Paramount Pictures,Metro-Goldwyn-Mayer (MGM),Sean Daniel Company,LightWorkers Media"
358,"Walt Disney Pictures,Walt Disney Feature Animation"
359,"Regency Enterprises,Fox 2000 Pictures,Sunswept Entertainment,Bagdasarian Productions,TSG Entertainment"
360,"United Artists,Achte Babelsberg Film,Metro-Goldwyn-Mayer (MGM),Bad Hat Harry Productions"
361,"Columbia Pictures,Happy Madison Productions,Sony Pictures Releasing,Relativity Media"
362,"Columbia Pictures,Happy Madison Productions"
363,"DreamWorks SKG,Amblin Entertainment,Stanley Kubrick Productions,Warner Bros."
364,"Walt Disney Pictures,Gunn Films,Doom Buggy Productions"
365,"Warner Bros.,South Side Amusement Company"
366,"Columbia Pictures Corporation,Global Entertainment Productions GmbH & Company Medien KG"
367,"Universal Pictures,StudioCanal,Mirage Enterprises,Working Title Films,Misher Films,Motion Picture JOTA Produktions"
368,"1492 Pictures,Dune Entertainment,Fox 2000 Pictures,Sunswept Entertainment,Dune Entertainment III,TSG Entertainment"
369,"Paramount Pictures,Toho-Towa,Mutual Film Company,Lawrence Gordon Productions,British Broadcasting Corporation (BBC),October Pictures,Eidos Interactive"
370,"Summit Entertainment,Lionsgate,K/O Paper Products,TIK Films"
371,"Paramount Pictures,Mace Neufeld Productions,Rysher Entertainment"
372,"Universal Pictures,Metropolitan Filmexport,Toho-Towa,Red Wagon Productions,Beacon Communications,Kalima Productions GmbH & Co. KG"
373,"Spyglass Entertainment,The Jacobson Company,Touchstone Pictures,Red Horizon Productions"
374,"Blue Sky Studios,Twentieth Century Fox Animation"
375,"Laurence Mark Productions,1492 Pictures,Columbia Pictures Corporation,Touchstone Pictures,Radiant Productions"
376,Twentieth Century Fox Film Corporation
377,Columbia Pictures
378,"Paramount Pictures,Intermedia Films,National Geographic Society,New Regency Pictures,Palomar Pictures (II),First Light Production"
379,"Universal Pictures,Dino De Laurentiis Company"
380,"Miramax Films,Imagine Entertainment,Universal Pictures,Parkway Pictures (I),Touchstone Pictures"
381,"Vnesheconombank,Nutcracker Holdings,HCC Media Group,Russian Roulette Ltd."
382,"Universal Pictures,Spyglass Entertainment,The Kennedy/Marshall Company,DreamWorks Pictures,Touchstone Pictures"
383,"Universal Pictures,Amblin Entertainment,Warner Bros.,Constant c Productions"
384,"DreamWorks SKG,Twentieth Century Fox Film Corporation,Playtone,ImageMovers"
385,"Kennedy Miller Productions,Animal Logic"
386,"Universal Pictures,The Kennedy/Marshall Company,Hypnotic,Motion Picture THETA Produktionsgesellschaft,Ludlum Entertainment"
387,"Columbia Pictures Corporation,Beacon Communications,Radiant Productions"
388,"Village Roadshow Pictures,Section Eight,NPV Entertainment,Jerry Weintraub Productions,Warner Bros.,WV Films II"
389,"Impact Pictures,Studio Babelsberg,Nouvelles Éditions de Films (NEF),New Legacy,Constantin Film Produktion"
390,"Columbia Pictures,Sony Pictures Animation"
391,"Walt Disney Pictures,Josephson Entertainment,Andalasia Productions,Right Coast Productions"
392,"Universal Pictures,Dentsu,Relativity Media,Bluegrass Films"
393,"Walt Disney Pictures,Cruella Productions"
394,"Universal Pictures,Image Entertainment,Relativity Media,Rat Entertainment"
395,"Columbia Pictures,Universal Pictures,Waverly Films,Relativity Media"
396,"Jerry Bruckheimer Films,Scott Free Productions,Touchstone Pictures,No Such Productions"
397,"Universal Pictures,Scott Rudin Productions,Waverly Films,Dentsu,Relativity Media"
398,"Village Roadshow Pictures,Section Eight,Jerry Weintraub Productions,Warner Bros."
399,Sony Pictures Animation
400,"Summit Entertainment,Red Wagon Entertainment"
401,"Paramount Pictures,Swanford Films,Mandalay Pictures,Little Bird,KC Medien,Reperage,DOS,MP Film Management"
402,"Columbia Pictures,Universal Pictures,Strike Entertainment,WWE Studios,Misher Films,IM3 Entertainment"
403,"Columbia Pictures Corporation,Oak Productions"
404,"DreamWorks SKG,Spyglass Entertainment,Columbia Pictures Corporation,Red Wagon Productions"
405,Universal Pictures
406,"Columbia Pictures,Aardman Animations,Sony Pictures Animation"
407,"Universal Pictures,City Light Films"
408,"David Foster Productions,Bel Air Entertainment,Warner Bros.,Hacienda Productions"
409,"Twentieth Century Fox Film Corporation,Columbia Pictures Corporation"
410,"Relativity Media,Misher Films,Yucaipa Films,Goldmann Pictures,Rat Entertainment,Misha Films"
411,"Universal Pictures,Marc Platt Productions"
412,"Paramount Pictures,David Foster Productions,Horsepower Films,LivePlanet,Core Productions,Munich Film Partners New Century & Company (MFP) Core Productions"
413,"Imagine Entertainment,Universal Pictures"
414,"Atlas Entertainment,Mosaic Media Group,Warner Bros."
415,"DNA Films,Reliance BIG Entertainment,IM Global,Rena Film,Peach Trees"
416,"Original Film,Columbia Pictures Corporation,Revolution Studios,Happy Madison Productions"
417,"Warner Bros.,Creepshow Films Inc.,Laurel Entertainment Inc."
418,Village Roadshow Pictures
419,"Dune Entertainment,Hypnotic,New Regency Pictures"
420,"Universal Pictures,Dark Horse Entertainment,Lawrence Gordon Productions,Mid Atlantic Films,Relativity Media,Internationale Filmproduktion Eagle"
421,"Paramount Pictures,Warner Bros.,Phoenix Pictures"
422,Phoenix Pictures
423,"Universal Pictures,Spyglass Entertainment,Shady Acres Entertainment,Pit Bull Productions"
424,Millennium Films
425,"Paramount Pictures,Cruise/Wagner Productions"
426,"Lionsgate,Color Force"
427,"Legendary Pictures,Living Films,Green Hat Films,Warner Bros."
428,"PolyGram Filmed Entertainment,Warner Bros."
429,"Pacific Data Images (PDI),DreamWorks Animation"
430,"Walt Disney Pictures,Walt Disney Feature Animation"
431,"Paramount Pictures,Kerner Entertainment Company"
432,"Paramount Pictures,DreamWorks SKG,Zanuck/Brown Productions,Manhattan Project"
433,"DC Comics,Di Bonaventura Pictures,Summit Entertainment,DC Entertainment"
434,"Paramount Pictures,Columbia Pictures Corporation,MTV Films,Happy Madison Productions,Callahan Filmworks"
435,Fox 2000 Pictures
436,"Columbia Pictures,Happy Madison Productions,Sony Pictures Entertainment (SPE)"
437,"Village Roadshow Pictures,Atlas Entertainment,Mosaic Media Group,Mad Chance,Warner Bros.,WV Films IV,Mel's Cite du Cinema,Callahan Filmworks"
438,"Columbia Pictures Corporation,Waverly Films,Warner Bros."
439,"Paramount Pictures,Appian Way,Phoenix Pictures,Sikelia Productions"
440,"New Line Cinema,Spyglass Entertainment,Type A Films,Ott Medien,Wild West Picture Show Productions"
441,"Blue Sky Studios,Twentieth Century Fox Animation"
442,"Paramount Pictures,Permut Presentations,WCG Entertainment Productions,Douglas/Reuther Productions,Touchstone Pictures,Krane Entertainment"
443,"Walt Disney Pictures,Happy Madison Productions,Gunn Films"
444,"DreamWorks SKG,The Zanuck Company,Twentieth Century Fox Film Corporation"
445,"Columbia Pictures,Happy Madison Productions"
446,"Jerry Bruckheimer Films,Kouf/Bigelow Productions,Touchstone Pictures,Hiett Designs of Las Vegas,Runway Pictures Inc"
447,"DreamWorks SKG,K/O Paper Products,Goldcrest Pictures,KMP Film Invest"
448,"Miramax Films,Mirage Enterprises,Castel Film Romania,Bona Fide Productions,Cattleya"
449,"Alcon Entertainment,Silver Pictures"
450,"Walt Disney Pictures,Great Oaks Entertainment"
451,"DreamWorks,Roth-Arnold Productions"
452,"Warner Bros. Family Entertainment,Northern Lights Entertainment,Courtside Seats Productions"
453,"Columbia Pictures,International Production Company,The Montecito Picture Company,Robert Simonds Productions,Metro-Goldwyn-Mayer (MGM)"
454,"Twentieth Century Fox Film Corporation,Dune Entertainment III,Earth Canada Productions,Hammerhead Productions,3 Arts Entertainment"
455,"Silver Pictures,Warner Bros.,Donner/Shuler-Donner Productions"
456,"Columbia Pictures,QED International,Crave Films,LStar Capital,Huayi Brothers Media,Le Grisbi Productions"
457,"Caravan Pictures,Roger Birnbaum Productions,Northern Lights Entertainment,Touchstone Pictures"
458,"De Line Pictures,Warner Bros. Animation,Sunswept Entertainment,Rhythm and Hues,Picnic Basket"
459,"DreamWorks SKG,DreamWorks Animation"
460,"Columbia Pictures,Happy Madison Productions,Sony Pictures Releasing,Broken Road Productions,Metro-Goldwyn-Mayer (MGM),Zookeeper Productions,Hey Eddie"
461,"New Line Cinema,Irwin Allen Productions,Prelude Pictures,Saltire Entertainment"
462,"Paramount Pictures,Scott Rudin Productions,Clinica Estetico"
463,"Rainbow Film Company, The,Revere Entertainment,Jagtoria Films"
464,"Columbia Pictures,Sony Pictures Animation"
465,Walt Disney Pictures
466,"DreamWorks SKG,Warner Bros."
467,"Walt Disney Pictures,RKO Pictures"
468,"Village Roadshow Pictures,NPV Entertainment,Silver Pictures,Warner Bros.,Jonathan Krane Group"
469,"Amblin Entertainment,Columbia Pictures Corporation"
470,PolyGram Filmed Entertainment
471,"New Line Cinema,Avery Pix,Happy Madison Productions"
472,"The Weinstein Company,Summit Entertainment,Atlas Entertainment,Mosaic Media Group,Reforma Films,Dimension Films,Metro-Goldwyn-Mayer (MGM),Revolution Sun Studios"
473,Tim Burton Productions
474,"Ex Nihilo,Canal+,Les films du Worso,Noodles Production,Ciné+,Scope Pictures,Le Tax Shelter du Gouvernement Fédéral de Belgique,Centre National de la Cinématographie (CNC),Ministère de la Culture et de la Communication,Volcano Films,Left Field Ventures,Evo Films A.I.E.,Indéfilms 3,Palatine Étoile 12,Cinéfeel Prod"
475,Art Linson Productions
476,"Touchstone Pictures,Mandeville Films,Wintergreen Productions,Top Shelf Productions"
477,"New Line Cinema,Tig Productions"
478,"Universal Pictures,Davis Entertainment"
479,"BBC Worldwide,Reliance BIG Entertainment,Animal Logic,BBC Earth,Evergreen Films,BBC Earth MD (WWD),Evergreen MD"
480,"Franchise Pictures,Warner Bros.,JTP Films,Morgan Creek Productions,Battlefield Productions"
481,"Lonely Film Productions GmbH & Co. KG.,Warner Bros. Animation,Warner Bros.,Goldmann Pictures,Baltimore Spring Creek Productions,Warner Bros. Feature Animation"
482,"The Weinstein Company,Relativity Media"
483,"Paramount Pictures,Donners' Company,Mutual Film Company,Cobalt Media Group,Artists Production Group (APG)"
484,"Tig Productions,Warner Bros."
485,Kennedy Miller Productions
486,"Summit Entertainment,Atmosphere Entertainment MM,One Race Films,Goldmann Pictures,NeoReel,Aperture Entertainment,TIK Films"
487,"Village Roadshow Pictures,NPV Entertainment,Warner Bros.,The Canton Company,Mars Production Pty. Ltd."
488,"Canal Plus,Sofica Europacorp,Avalanche Productions,EuropaCorp"
489,"Pathé Films,Canal+,TPS Star,Participant Media,France Télévision,France 2 Cinéma,France 3 Cinema,Centre National de la Cinématographie (CNC),Conseil Régional du Calvados,Région Bretagne,Ministère du Développement Durable et de la Mer,JMH-TSR,HH Sheikha Salama bint Hamdan Al Nahyan,Conseil Général des Côtes d'Armor,Conseil Général du Morbihan,Région Basse-Normandie"
490,"Epsilon Motion Pictures,Franchise Pictures,Baldwin Entertainment Group,Dante Entertainment,Crusader Entertainment,ETIC Films,Forge,QI Quality International GmbH Co. KG,Signature Pictures,ApolloMedia Distribution,Coco,Film 111,Jericho Productions Ltd.,MFF (Sound of Thunder),Matrix Film Finance,Scenario Lane Productions"
491,"Impact Pictures,TriStar Pictures,Don Carmody Productions,FilmDistrict,Constantin Film International"
492,"Anima Estudios,Discreet Art Productions"
493,"Imagine Entertainment,DreamWorks SKG,Universal Pictures"
494,"Walt Disney Pictures,Walt Disney Feature Animation"
495,"New Line Cinema,Contrafilm,Walden Media"
496,"Columbia Pictures,Sony"
497,"Universal Pictures,Metro-Goldwyn-Mayer (MGM)"
498,"Casey Silver Productions,Touchstone Pictures,Dune Films"
499,"Columbia Pictures,Happy Madison Productions,Broken Road Productions"
500,"Mikona Productions GmbH & Co. KG,Universal Pictures,Original Film,Ardustry Entertainment"
501,"Onyx Films,NetFlix,Orange Studios,CityMation,On Entertainment,Zippcast Films"
502,"Village Roadshow Pictures,Vertigo Entertainment,Silver Pictures,Warner Bros."
503,"Universal Pictures,Capella International,KC Medien AG,Tribeca Productions"
504,"Universal Pictures,Fuji Television Network,Dentsu,Illumination Entertainment"
505,"Twentieth Century Fox Film Corporation,JD Productions,International Production Company,Angry Films,Mediastream Dritte Film GmbH & Co. Beteiligungs KG"
506,"Universal Pictures,Illumination Entertainment"
507,"Twentieth Century Fox Film Corporation,Centropolis Entertainment"
508,"Universal Pictures,Amblin Entertainment"
509,"DreamWorks SKG,Pacific Data Images (PDI),DreamWorks Animation"
510,"Universal Pictures,Strike Entertainment,Hit & Run Productions"
511,"Twentieth Century Fox Film Corporation,Donners' Company,Bad Hat Harry Productions,Marvel Enterprises,Springwood Productions,Genetics Productions"
512,"Universal Pictures,Spyglass Entertainment,Bazelevs Production,Kickstart Productions,Marc Platt Productions,Top Cow Productions,Relativity Media,Ringerike Zweite Filmproduktion,Revolution Sun Studios"
513,"Hollywood Pictures,Don Simpson/Jerry Bruckheimer Films"
514,"Blue Sky Studios,Twentieth Century Fox Animation"
515,"Columbia Pictures Corporation,Happy Madison Productions,Anonymous Content,Flower Films (II)"
516,"New Line Cinema,Ingenious Film Partners,Offspring Entertainment,Zadan / Meron Productions"
517,"Morgan Creek Productions,Dominion Productions"
518,"Walt Disney Pictures,Caravan Pictures,DiC Entertainment"
519,"Summit Entertainment,K/O Paper Products,SOIXAN7E QUIN5E,See Me Louisiana"
520,"Columbia Pictures,Happy Madison Productions,Relativity Media"
521,"DreamWorks SKG,Amblin Entertainment,Parkes/MacDonald Productions"
522,"DreamWorks SKG,Nickelodeon Movies"
523,"Columbia Pictures Corporation,Global Entertainment Productions GmbH & Company Medien KG"
524,"Universal Pictures,Participant Productions,Playtone Production"
525,"DreamWorks SKG,Pacific Data Images (PDI),DreamWorks Animation"
526,"Paramount Pictures,DreamWorks SKG,Laurence Mark Productions"
527,"Double Feature Films,Jersey Films,Nina Saxon Film Design,Metro-Goldwyn-Mayer (MGM)"
528,"DreamWorks SKG,Universal Pictures,Amblin Entertainment,Peninsula Films,Alliance Atlantis Communications,Kennedy/Marshall Company, The,Barry Mendel Productions"
529,"Columbia Pictures,Revolution Studios,Cheyenne Enterprises,Michael Lobell Productions"
530,"Katalyst Films,Lionsgate,Aversano Films"
531,"Davis Entertainment,Warner Bros.,Wigram Productions,RatPac-Dune Entertainment"
532,"Gracie Films,Columbia Pictures Corporation"
533,"Columbia Pictures,Amblin Entertainment,Sony Pictures Animation,Sony Pictures Entertainment,ImageMovers"
534,"Cheyenne Enterprises,Epsilon Motion Pictures,Empire Pictures,Metro-Goldwyn-Mayer (MGM),Hyde Park Entertainment,Baltimore Spring Creek Productions,Lotus Pictures"
535,"Columbia Pictures Corporation,First Knight Productions"
536,Fox 2000 Pictures
537,"Virgin Produced,Mark Canton Productions"
538,"Miramax Films,Cheyenne Enterprises,Yari Film Group,Stratus Film Co.,Syndicate Films International,Equity Pictures Medienfonds GmbH & Co. KG II,Hostage GmbH"
