,cast,genres,keywords,production_companies,production_countries,urls,titles
55,KellyMacdonald JulieWalters BillyConnolly EmmaThompson,Animation Adventure Comedy Family Action Fantasy,scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.KlKyNb-FiPXppR2mbO8hRwHaLH%26pid%3D15.1&f=1,brave
56,ChrisPine ZacharyQuinto KarlUrban SimonPegg,Action Adventure ScienceFiction,sequel stranded hatred spaceopera,ParamountPictures BadRobot PerfectStormEntertainment AlibabaPicturesGroup SkydanceMedia SneakyShark HuahuaMedia,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.edITzsAkmhyHgW2wkDr0UgHaLH%26pid%3D15.1&f=1,star trek beyond
57,BenBurtt ElissaKnight JeffGarlin FredWillard,Animation Family,romanticcomedy,WaltDisneyPictures PixarAnimationStudios FortyFourStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.fOoRXJzOiMYn2knGb1uUMwHaLD%26pid%3D15.1&f=1,wall·e
58,ChrisTucker JackieChan HiroyukiSanada MaxvonSydow,Action Comedy Crime Thriller,ambassador,NewLineCinema,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.1dIvg1uKXJ0TsOtbE687lgHaKj%26pid%3D15.1&f=1,rush hour 3
59,JohnCusack AmandaPeet ChiwetelEjiofor ThandieNewton,Action Adventure ScienceFiction,civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind,ColumbiaPictures CentropolisEntertainment TheMarkGordonCompany FarewellProductions,Canada UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.V9R2DS9JcYonMot-t80sHQHaEK%26pid%3D15.1&f=1,2012
60,GaryOldman JimCarrey SteveValentine DarylSabara,Animation Drama,holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas,WaltDisney ImageMovers,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.JRq_HSpsabwz9kMfIrQVPwHaLH%26pid%3D15.1&f=1,a christmas carol
61,MilaKunis ChanningTatum SeanBean EddieRedmayne,ScienceFiction Fantasy Action Adventure,jupiter space womandirector 3d interspeciesromance,VillageRoadshowPictures DuneEntertainment AnarchosProductions WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP._nusQOBhRE55V35iPPQllAAAAA%26pid%3D15.1&f=1,jupiter ascending
62,AlexanderSkarsgård MargotRobbie ChristophWaltz SamuelL.Jackson,Action Adventure,africa feralchild tarzan jungle animalattack,VillageRoadshowPictures DarkHorseEntertainment JerryWeintraubProductions RatPac-DuneEntertainment BeaglePugFilms RicheProductions VillageRoadshowFilmsNorthAmerica,Canada UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.G_vtc96i1aF_VMbVCSLaQAHaEK%26pid%3D15.1&f=1,the legend of tarzan
63,WilliamMoseley AnnaPopplewell SkandarKeynes GeorgieHenley,Adventure Family Fantasy,savingtheworld witch basedonnovel brothersisterrelationship selfsacrifice winter cupboard beaver lion fairy-talefigure battle narnia fantasyworld duringcreditsstinger,WaltDisney WaldenMedia,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.3YsvTi-cBSw9Qoygzky_ZQHaLH%26pid%3D15.1&f=1,"the chronicles of narnia: the lion, the witch and the wardrobe"
64,JamesMcAvoy MichaelFassbender JenniferLawrence NicholasHoult,ScienceFiction,mutant supernaturalpowers marvelcomic superhero basedoncomicbook superhuman apocalypse superheroteam worlddomination aftercreditsstinger 1980s,TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment KinbergGenre,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.ePGc-_UAmhvpMsQTFaEYRgHaLH%26pid%3D15.1&f=1,x-men: apocalypse
65,ChristianBale HeathLedger AaronEckhart MichaelCaine,Drama Action Crime Thriller,dccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomicbook tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batman,DCComics LegendaryPictures WarnerBros. DCEntertainment Syncopy,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Iq9PIngAb-RRTl3YtpEmAAHaLH%26pid%3D15.1&f=1,the dark knight
66,EdAsner ChristopherPlummer JordanNagai BobPeterson,Animation Comedy Family Adventure,agedifference centralandsouthamerica balloon animation floatingintheair duringcreditsstinger exploring,PixarAnimationStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.7xR6d1B-3JLAaGzsB_TYOAAAAA%26pid%3D15.1&f=1,up
67,SethRogen ReeseWitherspoon HughLaurie PaulRudd,Animation Family Adventure ScienceFiction,alien giantrobot duringcreditsstinger,DreamWorksAnimation,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.cYoQjZ-PRVudIqDFKMcdXAHaLH%26pid%3D15.1&f=1,monsters vs aliens
68,RobertDowneyJr. TerrenceHoward JeffBridges ShaunToub,Action ScienceFiction Adventure,middleeast armsdealer malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse counterterrorism agentcoulson,MarvelStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.NLMLS6ViRhoPwlcxZK2VKQHaK5%26pid%3D15.1&f=1,iron man
69,BenKingsley SachaBaronCohen AsaButterfield ChloëGraceMoretz,Adventure Drama Family,library clock filmdirector key toy boy love orphan robot automaton hiding filmmaking legbrace doberman 3d,ParamountPictures InfinitumNihil GKFilms,France UnitedStatesofAmerica UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.C8JxJon5_eOaxPBl-eKhRgHaEK%26pid%3D15.1&f=1,hugo
70,WillSmith KevinKline KennethBranagh SalmaHayek,Action Adventure Comedy ScienceFiction Western,steampunk basedontvseries steamlocomotive drag,Todman Simon LeMastersProductions WarnerBros. PetersEntertainment SonnenfeldJosephsonWorldwideEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.oFrCZ1sa40B5HA8ZTKVF1QHaKD%26pid%3D15.1&f=1,wild wild west
71,BrendanFraser JetLi JohnHannah MariaBello,Adventure Action Fantasy,,UniversalPictures ChinaFilmCo-ProductionCorporation RelativityMedia AlphavilleFilms SommersCompany The,Germany UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.bVREHw93wkwoQiwA4Pma3AHaLH%26pid%3D15.1&f=1,the mummy: tomb of the dragon emperor
72,WillSmith MargotRobbie JoelKinnaman ViolaDavis,Action Adventure Crime Fantasy ScienceFiction,dccomics shareduniverse antihero secretmission villain superhero supervillain dcextendeduniverse,DCComics DuneEntertainment AtlasEntertainment WarnerBros. DCEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.s2lZTYOQxWnrFxyePjAozwHaK-%26pid%3D15.1&f=1,suicide squad
73,SteveCarell LaurenGraham JohnGoodman JimmyBennett,Fantasy Comedy Family,fathersonrelationship dailylife marriedcouple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah'sark,ColumbiaPictures UniversalPictures SpyglassEntertainment ShadyAcresEntertainment OriginalFilm Playtone RelativityMedia,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.LKYv1oEAUTm7w4n6JL2fhAAAAA%26pid%3D15.1&f=1,evan almighty
74,TomCruise EmilyBlunt BrendanGleeson BillPaxton,Action ScienceFiction,dejavu timewarp restart dystopia war alien militaryofficer soldier alieninvasion exoskeleton,VillageRoadshowPictures WarnerBros. VizMedia ProvinceofBritishColumbiaProductionServicesTaxCredit 3ArtsEntertainment RatPac-DuneEntertainment,Australia UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.0eIQrrJ9PcfOy_2E96HPTAHaK9%26pid%3D15.1&f=1,edge of tomorrow
75,KevinCostner ChaimGirafi RickAviles R.D.Call,Adventure Action,ocean tattoo mutant water dystopia doomsday,UniversalPictures GordonCompany DavisEntertainment Licht/MuellerFilmCorporation,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.WN7g4qjLstolwxq8ofQGRgHaLH%26pid%3D15.1&f=1,waterworld
76,DennisQuaid ChanningTatum MarlonWayans SiennaMiller,Adventure Action Thriller ScienceFiction,terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra,ParamountPictures SpyglassEntertainment DiBonaventuraPictures Hasbro KontseptFilmCompany,CzechRepublic UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.vE0CZY1dx9YgcSXvrBrmEgHaK-%26pid%3D15.1&f=1,g.i. joe: the rise of cobra
77,AmyPoehler PhyllisSmith RichardKind BillHader,Drama Comedy Animation Family,dream cartoon imaginaryfriend animation family moving kids unicorn duringcreditsstinger 3d emotions,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.iVQyqSUAvH1tszZiEw4DZgHaE3%26pid%3D15.1&f=1,inside out
78,NeelSethi BillMurray BenKingsley IdrisElba,Family Adventure Drama Fantasy,basedonnovel snake wolf elephant tiger feralchild panther remake bear jungle talkinganimal orphan animal talkingtoanimals,WaltDisneyPictures WaltDisneyStudiosMotionPictures FairviewEntertainment MovingPictureCompany(MPC),UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.QqRQYxt-wkREEeuolSYrkQAAAA%26pid%3D15.1&f=1,the jungle book
79,RobertDowneyJr. GwynethPaltrow DonCheadle ScarlettJohansson,Adventure Action ScienceFiction,malibu marvelcomic superhero basedoncomicbook revenge aftercreditsstinger marvelcinematicuniverse,MarvelStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.kvEeP8yOodBtCINZLtTCLgHaLH%26pid%3D15.1&f=1,iron man 2
80,KristenStewart CharlizeTheron ChrisHemsworth SamClaflin,Adventure Fantasy Drama,queen magic fairytale immortality forest deception woman eternalyouth snowwhite evilqueen evilstepmother imprisoned sorceress,UniversalPictures RothFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.EXyRdCw7qhBD-vr32ABtKAHaLH%26pid%3D15.1&f=1,snow white and the huntsman
81,AngelinaJolie ElleFanning SharltoCopley SamRiley,Fantasy Adventure Action Family Romance,fairytale villain sleepingbeauty darkfantasy basedonfairytale adaptation retelling literaryadaptation 3d,WaltDisneyPictures WaltDisneyStudiosMotionPictures RothFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.k_92gn1C9RmHEGOMAmPETAHaK-%26pid%3D15.1&f=1,maleficent
82,AndySerkis JasonClarke GaryOldman KeriRussell,ScienceFiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack plague 3d,IngeniousMedia CherninEntertainment TSGEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.Sblq7iYzfgmqwRUNi0E3GgHaD3%26pid%3D15.1&f=1,dawn of the planet of the apes
83,JoshHartnett SimoneKessell TamsinEgerton AliceEnglert,Action Adventure ScienceFiction Romance,,Corsan BlissMedia LimelightInternationalMediaEntertainment NeelmudraEntertainment AristosFilms SingularityProductions Wildkite,Australia Belgium India,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.DV-iPhmfLGlZedoTs8_uswHaOG%26pid%3D15.1&f=1,the lovers
84,KeanuReeves HiroyukiSanada KouShibasaki TadanobuAsano,Drama Action Adventure Fantasy,japan suicide samurai basedontruestory samuraisword ronin shogun halfbreed 3d,MidAtlanticFilms StuberProductions Universal MovingPictureCompany(MPC) H2FEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.jMg4ilWWQPj2Z7nqtmUYPwHaKj%26pid%3D15.1&f=1,47 ronin
85,ChrisEvans SamuelL.Jackson ScarlettJohansson RobertRedford,Action Adventure ScienceFiction,washingtond.c. future shield marvelcomic superhero basedoncomicbook captainamerica aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d politicalthriller,MarvelStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.W8Ji_kay-_T7V0g0NA4F5wHaLW%26pid%3D15.1&f=1,captain america: the winter soldier
86,MikeMyers EddieMurphy CameronDiaz AntonioBanderas,Comedy Adventure Fantasy Animation Family,ogre 3d,DreamWorksAnimation,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.-qEDBkSGzkA1aDHjZcOSyQHaLH%26pid%3D15.1&f=1,shrek forever after
87,BrittRobertson GeorgeClooney RaffeyCassidy ThomasRobinson,Adventure Family Mystery ScienceFiction,inventor apocalypse destiny imax dreamer futuristiccar futuristiccity,WaltDisneyPictures Babieka A113,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.D77IFdRHdxFtl407rfiGvgHaEo%26pid%3D15.1&f=1,tomorrowland
88,ScottAdsit RyanPotter DanielHenney T.J.Miller,Adventure Family Animation Action Comedy,brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d teensuperheroes deadbrother,WaltDisneyPictures WaltDisneyAnimationStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.Gqz9mKGr8wkCPhsIYkqZJAAAAA%26pid%3D15.1&f=1,big hero 6
89,JohnC.Reilly SarahSilverman JackMcBrayer JaneLynch,Family Animation Comedy Adventure,supportgroup productplacement bullying racing arcade medal selfesteem curiosity precociouschild aftercreditsstinger duringcreditsstinger firstpersonshooter glitch carefree videogamer q*bert interruptedwedding socialreject,WaltDisneyAnimationStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.VujhJ1_MHWOqUKmB2DY3QQHaKz%26pid%3D15.1&f=1,wreck-it ralph
90,TomHanks MichaelJeter NonaGaye PeterScolari,Adventure Animation Family Fantasy,santaclaus nerd faith gift bell beard northpole chute trestle ticket christmas,GoldenMean Playtone ImageMovers,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.ehK-t2a6ppF8kgpefoHrfgHaOG%26pid%3D15.1&f=1,the polar express
91,LiamHemsworth JeffGoldblum BillPullman MaikaMonroe,Action Adventure ScienceFiction,alternatehistory alieninvasion,TwentiethCenturyFoxFilmCorporation CentropolisEntertainment TSGEntertainment StereoD,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.krzqSlQAuqgMs4WEHVGLtAAAAA%26pid%3D15.1&f=1,independence day: resurgence
92,JayBaruchel GerardButler CraigFerguson AmericaFerrera,Fantasy Adventure Animation Family,flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior,DreamWorksAnimation VertigoEntertainment MadHatterEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.2puxbucqpU8sG655U7hybgHaLH%26pid%3D15.1&f=1,how to train your dragon
93,ArnoldSchwarzenegger NickStahl ClaireDanes KristannaLoken,Action Thriller ScienceFiction,savingtheworld artificialintelligence manvsmachine cyborg killerrobot sunglasses leatherjacket nanotechnology rocketlauncher firemen veterinarian fireengine dystopia psychiatrist,ColumbiaPictures IntermediaFilms WarnerBros. C-2Pictures IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG Mostow/LiebermanProductions,Germany UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.dH9dO8bR6VITTOTzX46KYQHaK8%26pid%3D15.1&f=1,terminator 3: rise of the machines
94,ChrisPratt ZoeSaldana DaveBautista VinDiesel,Action ScienceFiction Adventure,marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,MarvelStudios MovingPictureCompany(MPC) BulletproofCupid RevolutionSunStudios,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.UoORck1kkAtnOKdQzpGZgAHaLH%26pid%3D15.1&f=1,guardians of the galaxy
95,MatthewMcConaughey JessicaChastain AnneHathaway MichaelCaine,Adventure Drama ScienceFiction,savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime quantummechanics spaceship space rescue familyrelationships farmhouse robot astronaut scientist fatherdaughterrelationship singlefather farmer spacestation imax astrophysics zerogravity courage timeparadox relativity,ParamountPictures LegendaryPictures WarnerBros. Syncopy LyndaObstProductions,Canada UnitedStatesofAmerica UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.vhso5JOHc37rzLDqAzx-xgHaLH%26pid%3D15.1&f=1,interstellar
96,LeonardoDiCaprio JosephGordon-Levitt EllenPage TomHardy,Action Thriller ScienceFiction Mystery Adventure,lossoflover dream kidnapping sleep subconsciousness heist redemption femalehero,LegendaryPictures WarnerBros. Syncopy,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.6WES5nhdyXVDPrxHG0vCvgHaKz%26pid%3D15.1&f=1,inception
97,IanMcKellen MartinFreeman RichardArmitage AndySerkis,Adventure Fantasy Action,riddle elves dwarves orcs middle-earth(tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel undergroundlake buriedtreasure climbingatree invisibility ancient gnomes,WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM),NewZealand UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.X9Fb4HnXQsCFXsBzVAYJbQHaK9%26pid%3D15.1&f=1,the hobbit: an unexpected journey
98,PaulWalker VinDiesel MichelleRodriguez JordanaBrewster,Action Crime Thriller,streetgang carrace undercover auto-tuning losangeles car automobileracing aftercreditsstinger duringcreditsstinger,UniversalPictures OriginalFilm ArdustryEntertainment MediastreamFilmGmbH&Co.ProductionsKG,Germany UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.qQbPqRP9BUjjjknFcNHb6wHaLH%26pid%3D15.1&f=1,the fast and the furious
99,CateBlanchett BradPitt TildaSwinton JuliaOrmond,Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel hospital,ParamountPictures WarnerBros. Kennedy/MarshallCompany The,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.uD8M9_n0YFSzPCLTTH1I2gHaKb%26pid%3D15.1&f=1,the curious case of benjamin button
100,JamesMcAvoy MichaelFassbender JenniferLawrence KevinBacon,Action ScienceFiction Adventure,cia mutant mine marvelcomic superhero basedoncomicbook superhuman historicalfiction nuclearwar cubanmissilecrisis worldwariii 1960s,IngeniousFilmPartners IngeniousMedia TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment DuneEntertainmentIII MarvelEntertainment BadHatHarryProductions BigScreenProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.tbUqA1hVqgFbR99s2dX6yAHaK-%26pid%3D15.1&f=1,x-men: first class
101,JenniferLawrence JoshHutcherson LiamHemsworth WoodyHarrelson,Action Adventure ScienceFiction,revolution strongwoman dystopia gameofdeath 3d basedonyoungadultnovel,StudioBabelsberg Lionsgate ColorForce,Germany UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.YaNX06ksTjs3FGj-J30W_QHaLH%26pid%3D15.1&f=1,the hunger games: mockingjay - part 2
102,NicolasCage JayBaruchel MonicaBellucci AlfredMolina,Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana,WaltDisneyPictures JerryBruckheimerFilms SaturnFilms BrokenRoadProductions JunctionEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.QoaVNkE2W-WOt0uDS0LngAHaLH%26pid%3D15.1&f=1,the sorcerer's apprentice
103,KurtRussell RichardDreyfuss JoshLucas JacindaBarrett,Adventure Action Drama Thriller,newyear'seve fire drowning cataclysm lossoffather atlanticocean ball self-abandonment shipwreck giantwave blackout ship daughter single escape capsizedship,VirtualStudios NextEntertainment WarnerBros. IrwinAllenProductions RadiantProductions SynthesisEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.c61y-7aKPOoEFwjFsuInXQHaKj%26pid%3D15.1&f=1,poseidon
