,production_companies
358,UnitedArtists AchteBabelsbergFilm Metro-Goldwyn-Mayer(MGM) BadHatHarryProductions
359,ColumbiaPictures HappyMadisonProductions SonyPicturesReleasing RelativityMedia
360,ColumbiaPictures HappyMadisonProductions
361,DreamWorksSKG AmblinEntertainment StanleyKubrickProductions WarnerBros.
362,WaltDisneyPictures GunnFilms DoomBuggyProductions
363,WarnerBros. SouthSideAmusementCompany
364,ColumbiaPicturesCorporation GlobalEntertainmentProductionsGmbH&CompanyMedienKG
365,UniversalPictures StudioCanal MirageEnterprises WorkingTitleFilms MisherFilms MotionPictureJOTAProduktions
366,1492Pictures DuneEntertainment Fox2000Pictures SunsweptEntertainment DuneEntertainmentIII TSGEntertainment
367,ParamountPictures Toho-Towa MutualFilmCompany LawrenceGordonProductions BritishBroadcastingCorporation(BBC) OctoberPictures EidosInteractive
368,SummitEntertainment Lionsgate K/OPaperProducts TIKFilms
369,ParamountPictures MaceNeufeldProductions RysherEntertainment
370,UniversalPictures MetropolitanFilmexport Toho-Towa RedWagonProductions BeaconCommunications KalimaProductionsGmbH&Co.KG
371,SpyglassEntertainment TheJacobsonCompany TouchstonePictures RedHorizonProductions
372,BlueSkyStudios TwentiethCenturyFoxAnimation
373,LaurenceMarkProductions 1492Pictures ColumbiaPicturesCorporation TouchstonePictures RadiantProductions
374,TwentiethCenturyFoxFilmCorporation
375,ColumbiaPictures
376,ParamountPictures IntermediaFilms NationalGeographicSociety NewRegencyPictures PalomarPictures(II) FirstLightProduction
377,UniversalPictures DinoDeLaurentiisCompany
378,MiramaxFilms ImagineEntertainment UniversalPictures ParkwayPictures(I) TouchstonePictures
379,Vnesheconombank NutcrackerHoldings HCCMediaGroup RussianRouletteLtd.
380,UniversalPictures SpyglassEntertainment TheKennedy/MarshallCompany DreamWorksPictures TouchstonePictures
381,UniversalPictures AmblinEntertainment WarnerBros. ConstantcProductions
382,DreamWorksSKG TwentiethCenturyFoxFilmCorporation Playtone ImageMovers
383,KennedyMillerProductions AnimalLogic
384,UniversalPictures TheKennedy/MarshallCompany Hypnotic MotionPictureTHETAProduktionsgesellschaft LudlumEntertainment
385,ColumbiaPicturesCorporation BeaconCommunications RadiantProductions
386,VillageRoadshowPictures SectionEight NPVEntertainment JerryWeintraubProductions WarnerBros. WVFilmsII
387,ImpactPictures StudioBabelsberg NouvellesÉditionsdeFilms(NEF) NewLegacy ConstantinFilmProduktion
388,ColumbiaPictures SonyPicturesAnimation
389,WaltDisneyPictures JosephsonEntertainment AndalasiaProductions RightCoastProductions
390,UniversalPictures Dentsu RelativityMedia BluegrassFilms
391,WaltDisneyPictures CruellaProductions
392,UniversalPictures ImageEntertainment RelativityMedia RatEntertainment
393,ColumbiaPictures UniversalPictures WaverlyFilms RelativityMedia
394,JerryBruckheimerFilms ScottFreeProductions TouchstonePictures NoSuchProductions
395,UniversalPictures ScottRudinProductions WaverlyFilms Dentsu RelativityMedia
396,VillageRoadshowPictures SectionEight JerryWeintraubProductions WarnerBros.
397,SonyPicturesAnimation
398,SummitEntertainment RedWagonEntertainment
399,ParamountPictures SwanfordFilms MandalayPictures LittleBird KCMedien Reperage DOS MPFilmManagement
400,ColumbiaPictures UniversalPictures StrikeEntertainment WWEStudios MisherFilms IM3Entertainment
401,ColumbiaPicturesCorporation OakProductions
402,DreamWorksSKG SpyglassEntertainment ColumbiaPicturesCorporation RedWagonProductions
403,UniversalPictures
404,ColumbiaPictures AardmanAnimations SonyPicturesAnimation
405,UniversalPictures CityLightFilms
406,DavidFosterProductions BelAirEntertainment WarnerBros. HaciendaProductions
407,TwentiethCenturyFoxFilmCorporation ColumbiaPicturesCorporation
408,RelativityMedia MisherFilms YucaipaFilms GoldmannPictures RatEntertainment MishaFilms
409,UniversalPictures MarcPlattProductions
410,ParamountPictures DavidFosterProductions HorsepowerFilms LivePlanet CoreProductions MunichFilmPartnersNewCentury&Company(MFP)CoreProductions
411,ImagineEntertainment UniversalPictures
412,AtlasEntertainment MosaicMediaGroup WarnerBros.
413,DNAFilms RelianceBIGEntertainment IMGlobal RenaFilm PeachTrees
414,OriginalFilm ColumbiaPicturesCorporation RevolutionStudios HappyMadisonProductions
415,WarnerBros. CreepshowFilmsInc. LaurelEntertainmentInc.
416,VillageRoadshowPictures
417,DuneEntertainment Hypnotic NewRegencyPictures
418,UniversalPictures DarkHorseEntertainment LawrenceGordonProductions MidAtlanticFilms RelativityMedia InternationaleFilmproduktionEagle
419,ParamountPictures WarnerBros. PhoenixPictures
420,PhoenixPictures
421,UniversalPictures SpyglassEntertainment ShadyAcresEntertainment PitBullProductions
422,MillenniumFilms
423,ParamountPictures Cruise/WagnerProductions
424,Lionsgate ColorForce
425,LegendaryPictures LivingFilms GreenHatFilms WarnerBros.
426,PolyGramFilmedEntertainment WarnerBros.
427,PacificDataImages(PDI) DreamWorksAnimation
428,WaltDisneyPictures WaltDisneyFeatureAnimation
429,ParamountPictures KernerEntertainmentCompany
430,ParamountPictures DreamWorksSKG Zanuck/BrownProductions ManhattanProject
431,DCComics DiBonaventuraPictures SummitEntertainment DCEntertainment
432,ParamountPictures ColumbiaPicturesCorporation MTVFilms HappyMadisonProductions CallahanFilmworks
433,Fox2000Pictures
434,ColumbiaPictures HappyMadisonProductions SonyPicturesEntertainment(SPE)
435,VillageRoadshowPictures AtlasEntertainment MosaicMediaGroup MadChance WarnerBros. WVFilmsIV Mel'sCiteduCinema CallahanFilmworks
436,ColumbiaPicturesCorporation WaverlyFilms WarnerBros.
437,ParamountPictures AppianWay PhoenixPictures SikeliaProductions
438,NewLineCinema SpyglassEntertainment TypeAFilms OttMedien WildWestPictureShowProductions
439,BlueSkyStudios TwentiethCenturyFoxAnimation
440,ParamountPictures PermutPresentations WCGEntertainmentProductions Douglas/ReutherProductions TouchstonePictures KraneEntertainment
441,WaltDisneyPictures HappyMadisonProductions GunnFilms
442,DreamWorksSKG TheZanuckCompany TwentiethCenturyFoxFilmCorporation
443,ColumbiaPictures HappyMadisonProductions
444,JerryBruckheimerFilms Kouf/BigelowProductions TouchstonePictures HiettDesignsofLasVegas RunwayPicturesInc
445,DreamWorksSKG K/OPaperProducts GoldcrestPictures KMPFilmInvest
446,MiramaxFilms MirageEnterprises CastelFilmRomania BonaFideProductions Cattleya
447,AlconEntertainment SilverPictures
448,WaltDisneyPictures GreatOaksEntertainment
449,DreamWorks Roth-ArnoldProductions
450,WarnerBros.FamilyEntertainment NorthernLightsEntertainment CourtsideSeatsProductions
451,ColumbiaPictures InternationalProductionCompany TheMontecitoPictureCompany RobertSimondsProductions Metro-Goldwyn-Mayer(MGM)
452,TwentiethCenturyFoxFilmCorporation DuneEntertainmentIII EarthCanadaProductions HammerheadProductions 3ArtsEntertainment
453,SilverPictures WarnerBros. Donner/Shuler-DonnerProductions
454,ColumbiaPictures QEDInternational CraveFilms LStarCapital HuayiBrothersMedia LeGrisbiProductions
455,CaravanPictures RogerBirnbaumProductions NorthernLightsEntertainment TouchstonePictures
456,DeLinePictures WarnerBros.Animation SunsweptEntertainment RhythmandHues PicnicBasket
457,DreamWorksSKG DreamWorksAnimation
458,ColumbiaPictures HappyMadisonProductions SonyPicturesReleasing BrokenRoadProductions Metro-Goldwyn-Mayer(MGM) ZookeeperProductions HeyEddie
459,NewLineCinema IrwinAllenProductions PreludePictures SaltireEntertainment
460,ParamountPictures ScottRudinProductions ClinicaEstetico
461,RainbowFilmCompany The RevereEntertainment JagtoriaFilms
462,ColumbiaPictures SonyPicturesAnimation
463,WaltDisneyPictures
464,DreamWorksSKG WarnerBros.
465,WaltDisneyPictures RKOPictures
466,VillageRoadshowPictures NPVEntertainment SilverPictures WarnerBros. JonathanKraneGroup
467,AmblinEntertainment ColumbiaPicturesCorporation
468,PolyGramFilmedEntertainment
469,NewLineCinema AveryPix HappyMadisonProductions
470,TheWeinsteinCompany SummitEntertainment AtlasEntertainment MosaicMediaGroup ReformaFilms DimensionFilms Metro-Goldwyn-Mayer(MGM) RevolutionSunStudios
471,TimBurtonProductions
472,ExNihilo Canal+ LesfilmsduWorso NoodlesProduction Ciné+ ScopePictures LeTaxShelterduGouvernementFédéraldeBelgique CentreNationaldelaCinématographie(CNC) MinistèredelaCultureetdelaCommunication VolcanoFilms LeftFieldVentures EvoFilmsA.I.E. Indéfilms3 PalatineÉtoile12 CinéfeelProd
473,ArtLinsonProductions
474,TouchstonePictures MandevilleFilms WintergreenProductions TopShelfProductions
475,NewLineCinema TigProductions
476,UniversalPictures DavisEntertainment
477,BBCWorldwide RelianceBIGEntertainment AnimalLogic BBCEarth EvergreenFilms BBCEarthMD(WWD) EvergreenMD
478,FranchisePictures WarnerBros. JTPFilms MorganCreekProductions BattlefieldProductions
479,LonelyFilmProductionsGmbH&Co.KG. WarnerBros.Animation WarnerBros. GoldmannPictures BaltimoreSpringCreekProductions WarnerBros.FeatureAnimation
480,TheWeinsteinCompany RelativityMedia
481,ParamountPictures Donners'Company MutualFilmCompany CobaltMediaGroup ArtistsProductionGroup(APG)
482,TigProductions WarnerBros.
483,KennedyMillerProductions
484,SummitEntertainment AtmosphereEntertainmentMM OneRaceFilms GoldmannPictures NeoReel ApertureEntertainment TIKFilms
485,VillageRoadshowPictures NPVEntertainment WarnerBros. TheCantonCompany MarsProductionPty.Ltd.
486,CanalPlus SoficaEuropacorp AvalancheProductions EuropaCorp
487,PathéFilms Canal+ TPSStar ParticipantMedia FranceTélévision France2Cinéma France3Cinema CentreNationaldelaCinématographie(CNC) ConseilRégionalduCalvados RégionBretagne MinistèreduDéveloppementDurableetdelaMer JMH-TSR HHSheikhaSalamabintHamdanAlNahyan ConseilGénéraldesCôtesd'Armor ConseilGénéralduMorbihan RégionBasse-Normandie
488,EpsilonMotionPictures FranchisePictures BaldwinEntertainmentGroup DanteEntertainment CrusaderEntertainment ETICFilms Forge QIQualityInternationalGmbHCo.KG SignaturePictures ApolloMediaDistribution Coco Film111 JerichoProductionsLtd. MFF(SoundofThunder) MatrixFilmFinance ScenarioLaneProductions
489,ImpactPictures TriStarPictures DonCarmodyProductions FilmDistrict ConstantinFilmInternational
490,AnimaEstudios DiscreetArtProductions
491,ImagineEntertainment DreamWorksSKG UniversalPictures
492,WaltDisneyPictures WaltDisneyFeatureAnimation
493,NewLineCinema Contrafilm WaldenMedia
494,ColumbiaPictures Sony
495,UniversalPictures Metro-Goldwyn-Mayer(MGM)
496,CaseySilverProductions TouchstonePictures DuneFilms
497,ColumbiaPictures HappyMadisonProductions BrokenRoadProductions
498,MikonaProductionsGmbH&Co.KG UniversalPictures OriginalFilm ArdustryEntertainment
499,OnyxFilms NetFlix OrangeStudios CityMation OnEntertainment ZippcastFilms
500,VillageRoadshowPictures VertigoEntertainment SilverPictures WarnerBros.
501,UniversalPictures CapellaInternational KCMedienAG TribecaProductions
502,UniversalPictures FujiTelevisionNetwork Dentsu IlluminationEntertainment
503,TwentiethCenturyFoxFilmCorporation JDProductions InternationalProductionCompany AngryFilms MediastreamDritteFilmGmbH&Co.BeteiligungsKG
504,UniversalPictures IlluminationEntertainment
505,TwentiethCenturyFoxFilmCorporation CentropolisEntertainment
506,UniversalPictures AmblinEntertainment
507,DreamWorksSKG PacificDataImages(PDI) DreamWorksAnimation
508,UniversalPictures StrikeEntertainment Hit&RunProductions
509,TwentiethCenturyFoxFilmCorporation Donners'Company BadHatHarryProductions MarvelEnterprises SpringwoodProductions GeneticsProductions
510,UniversalPictures SpyglassEntertainment BazelevsProduction KickstartProductions MarcPlattProductions TopCowProductions RelativityMedia RingerikeZweiteFilmproduktion RevolutionSunStudios
511,HollywoodPictures DonSimpson/JerryBruckheimerFilms
512,BlueSkyStudios TwentiethCenturyFoxAnimation
513,ColumbiaPicturesCorporation HappyMadisonProductions AnonymousContent FlowerFilms(II)
514,NewLineCinema IngeniousFilmPartners OffspringEntertainment Zadan/MeronProductions
515,MorganCreekProductions DominionProductions
516,WaltDisneyPictures CaravanPictures DiCEntertainment
517,SummitEntertainment K/OPaperProducts SOIXAN7EQUIN5E SeeMeLouisiana
518,ColumbiaPictures HappyMadisonProductions RelativityMedia
519,DreamWorksSKG AmblinEntertainment Parkes/MacDonaldProductions
520,DreamWorksSKG NickelodeonMovies
521,ColumbiaPicturesCorporation GlobalEntertainmentProductionsGmbH&CompanyMedienKG
522,UniversalPictures ParticipantProductions PlaytoneProduction
523,DreamWorksSKG PacificDataImages(PDI) DreamWorksAnimation
524,ParamountPictures DreamWorksSKG LaurenceMarkProductions
525,DoubleFeatureFilms JerseyFilms NinaSaxonFilmDesign Metro-Goldwyn-Mayer(MGM)
526,DreamWorksSKG UniversalPictures AmblinEntertainment PeninsulaFilms AllianceAtlantisCommunications Kennedy/MarshallCompany The BarryMendelProductions
527,ColumbiaPictures RevolutionStudios CheyenneEnterprises MichaelLobellProductions
528,KatalystFilms Lionsgate AversanoFilms
529,DavisEntertainment WarnerBros. WigramProductions RatPac-DuneEntertainment
530,GracieFilms ColumbiaPicturesCorporation
531,ColumbiaPictures AmblinEntertainment SonyPicturesAnimation SonyPicturesEntertainment ImageMovers
532,CheyenneEnterprises EpsilonMotionPictures EmpirePictures Metro-Goldwyn-Mayer(MGM) HydeParkEntertainment BaltimoreSpringCreekProductions LotusPictures
533,ColumbiaPicturesCorporation FirstKnightProductions
534,Fox2000Pictures
535,VirginProduced MarkCantonProductions
536,MiramaxFilms CheyenneEnterprises YariFilmGroup StratusFilmCo. SyndicateFilmsInternational EquityPicturesMedienfondsGmbH&Co.KGII HostageGmbH
537,TwentiethCenturyFoxFilmCorporation DavidKirschnerProductions FoxAnimationStudios
538,ColumbiaPictures RevolutionStudios
539,ImpactPictures JerryWeintraubProductions WarnerBros. MorganCreekProductions
540,ParamountVantage LikelyStory IvyBoyProductions ThisIsThatProductions
541,TwentiethCenturyFoxFilmCorporation 1492Pictures TwitchingImageStudio
542,TwentiethCenturyFoxFilmCorporation DavisEntertainment AldrichGroup OptionalPictures
543,LimitedEditionProductionsInc. TouchstonePictures BlindingEdgePictures BarryMendelProductions
544,UniversalPictures IlluminationEntertainment
545,LegendaryPictures WarnerBros. LennoxHouseFilms CruelandUnusualFilms
546,ParamountPictures DeBart TouchstonePictures Mel'sCiteduCinema
547,PunchProductions WarnerBros. BaltimorePictures ConstantcProductions
548,ColumbiaPictures RovioEntertainment SonyPicturesImageworks(SPI) RovioMobile RovioAnimation
549,DeLinePictures WarnerBros.
550,ColumbiaPictures UniversalPictures HappyMadisonProductions RelativityMedia ApatowProductions Madison23
551,UniversalPictures ForwardPass RelativityMedia FilmWorks MDBFZweiteFilmgesellschaft
552,ColumbiaPictures ApatowProductions
553,TwentiethCenturyFoxFilmCorporation JosephM.SingerEntertainment DavisEntertainment
554,IconEntertainmentInternational TheLaddCompany B.H.FinanceC.V.
555,UniversalPictures NealStreetProductions RedWagonEntertainment MotionPictureKAPPAProduktionsgesellschaft
556,GracieFilms TwentiethCenturyFoxFilmCorporation
557,VillageRoadshowPictures CastleRockEntertainment NPVEntertainment DarkwoodsProductions
558,EpsilonMotionPictures FranchisePictures TrackformFilmProductions Mel'sCiteduCinema
559,PathéRennProductions TF1FilmsProduction Canal+ Pathe TwoBrothersProductions
560,ScottRudinProductions TouchstonePictures BlindingEdgePictures
561,TwentiethCenturyFoxFilmCorporation JosephM.SingerEntertainment DavisEntertainment
562,Kennedy/MarshallCompany The TouchstonePictures BlindingEdgePictures
563,DreamWorksSKG PacificDataImages(PDI) DreamWorksAnimation
564,WaltDisneyPictures PixarAnimationStudios
565,ParamountPictures LakeshoreEntertainment TouchstonePictures InterscopeCommunications
566,ColumbiaPictures OriginalFilm RevolutionStudios
567,ParamountPictures NickelodeonMovies NickelodeonAnimationStudios UnitedPlanktonPictures DisruptionEntertainment ParamountAnimation
568,TouchstonePictures BrianGrazer/ScottRudinProductions
569,UniversalPictures ABandApart TheWeinsteinCompany ZehnteBabelsberg VisionaRomantica
570,AmblinEntertainment TriStarPictures
571,TwentiethCenturyFoxFilmCorporation GordonCompany SilverPictures
572,OriginalFilm ColumbiaPicturesCorporation CamelotPictures ChrisLeeProductions IllusionEntertainment
573,ParamountPictures Cruise-WagnerProductions VinylFilms
574,LegendaryPictures WarnerBros. BlindingEdgePictures
575,ImpactPictures StudioBabelsberg TwentiethCenturyFoxFilmCorporation DavisEntertainment StillkingFilms BrandywineProductions LonlinkProductions KutProductions InsideTrackFilms CharentonProductionsLimited RevolutionSunStudios
576,RegencyEnterprises Fox2000Pictures BagdasarianProductions
577,IconEntertainmentInternational WheelhouseEntertainment MotionPictureProductionGmbH&Co.ErsteKG
578,NuImageFilms MillenniumFilms
579,ParamountPictures
580,ColumbiaPictures OriginalFilm RelativityMedia
581,ColumbiaPictures TheZanuckCompany Jinks/CohenCompany TimBurtonProductions
582,ColumbiaPictures
583,DreamWorksSKG AmblinEntertainment RelianceEntertainment Kennedy/MarshallCompany The
584,ColumbiaPictures StudioBabelsberg Fox2000Pictures SmokehousePictures ObeliskProductions
585,TwentiethCenturyFoxFilmCorporation LightstormEntertainment PacificWestern
586,TwentiethCenturyFoxFilmCorporation DuneEntertainment DuneEntertainmentIII EdwardR.PressmanFilm
587,UniversalPictures LegendaryPictures FujiTelevisionNetwork Dentsu MichaelDeLucaProductions
588,TwentiethCenturyFoxFilmCorporation LyndaObstProductions BedfordFallsCompany The
589,ParamountPictures IngeniousFilmPartners DiBonaventuraPictures MarvFilms VaughnProductions
590,TriStarPictures MandalayEntertainment Applecross Reperage&VanguardFilms
