,cast,genres,keywords,production_companies,production_countries,title
93,ArnoldSchwarzenegger NickStahl ClaireDanes KristannaLoken,Action Thriller ScienceFiction,savingtheworld artificialintelligence manvsmachine cyborg killerrobot sunglasses leatherjacket nanotechnology rocketlauncher firemen veterinarian fireengine dystopia psychiatrist,ColumbiaPictures IntermediaFilms WarnerBros. C-2Pictures IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG Mostow/LiebermanProductions,Germany UnitedKingdom UnitedStatesofAmerica,Terminator 3: Rise of the Machines
94,ChrisPratt ZoeSaldana DaveBautista VinDiesel,Action ScienceFiction Adventure,marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,MarvelStudios MovingPictureCompany(MPC) BulletproofCupid RevolutionSunStudios,UnitedKingdom UnitedStatesofAmerica,Guardians of the Galaxy
95,MatthewMcConaughey JessicaChastain AnneHathaway MichaelCaine,Adventure Drama ScienceFiction,savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime quantummechanics spaceship space rescue familyrelationships farmhouse robot astronaut scientist fatherdaughterrelationship singlefather farmer spacestation imax astrophysics zerogravity courage timeparadox relativity,ParamountPictures LegendaryPictures WarnerBros. Syncopy LyndaObstProductions,Canada UnitedStatesofAmerica UnitedKingdom,Interstellar
96,LeonardoDiCaprio JosephGordon-Levitt EllenPage TomHardy,Action Thriller ScienceFiction Mystery Adventure,lossoflover dream kidnapping sleep subconsciousness heist redemption femalehero,LegendaryPictures WarnerBros. Syncopy,UnitedKingdom UnitedStatesofAmerica,Inception
97,HirokiHasegawa YutakaTakenouchi SatomiIshihara KengoKora,Action Adventure Drama Horror ScienceFiction,monster godzilla giantmonster destruction kaiju toyko,CineBazar TohoPictures,Japan,シン・ゴジラ
98,IanMcKellen MartinFreeman RichardArmitage AndySerkis,Adventure Fantasy Action,riddle elves dwarves orcs middle-earth(tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel undergroundlake buriedtreasure climbingatree invisibility ancient gnomes,WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM),NewZealand UnitedStatesofAmerica,The Hobbit: An Unexpected Journey
99,PaulWalker VinDiesel MichelleRodriguez JordanaBrewster,Action Crime Thriller,streetgang carrace undercover auto-tuning losangeles car automobileracing aftercreditsstinger duringcreditsstinger,UniversalPictures OriginalFilm ArdustryEntertainment MediastreamFilmGmbH&Co.ProductionsKG,Germany UnitedStatesofAmerica,The Fast and the Furious
100,CateBlanchett BradPitt TildaSwinton JuliaOrmond,Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel hospital,ParamountPictures WarnerBros. Kennedy/MarshallCompany The,UnitedStatesofAmerica,The Curious Case of Benjamin Button
101,JamesMcAvoy MichaelFassbender JenniferLawrence KevinBacon,Action ScienceFiction Adventure,cia mutant mine marvelcomic superhero basedoncomicbook superhuman historicalfiction nuclearwar cubanmissilecrisis worldwariii 1960s,IngeniousFilmPartners IngeniousMedia TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment DuneEntertainmentIII MarvelEntertainment BadHatHarryProductions BigScreenProductions,UnitedStatesofAmerica,X-Men: First Class
102,JenniferLawrence JoshHutcherson LiamHemsworth WoodyHarrelson,Action Adventure ScienceFiction,revolution strongwoman dystopia gameofdeath 3d basedonyoungadultnovel,StudioBabelsberg Lionsgate ColorForce,Germany UnitedStatesofAmerica,The Hunger Games: Mockingjay - Part 2
103,NicolasCage JayBaruchel MonicaBellucci AlfredMolina,Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana,WaltDisneyPictures JerryBruckheimerFilms SaturnFilms BrokenRoadProductions JunctionEntertainment,UnitedStatesofAmerica,The Sorcerer's Apprentice
104,KurtRussell RichardDreyfuss JoshLucas JacindaBarrett,Adventure Action Drama Thriller,newyear'seve fire drowning cataclysm lossoffather atlanticocean ball self-abandonment shipwreck giantwave blackout ship daughter single escape capsizedship,VirtualStudios NextEntertainment WarnerBros. IrwinAllenProductions RadiantProductions SynthesisEntertainment,UnitedStatesofAmerica,Poseidon
105,JohnnyDepp MiaWasikowska AnneHathaway HelenaBonhamCarter,Fantasy,basedonnovel clock queen sequel aliceinwonderland darkfantasy madhatter 3d,WaltDisneyPictures TeamTodd TimBurtonProductions RothFilms Legend3D,UnitedKingdom UnitedStatesofAmerica,Alice Through the Looking Glass
106,MikeMyers EddieMurphy CameronDiaz JulieAndrews,Fantasy Adventure Animation Comedy Family,ambush sadness stage liberationofprisoners island traitor shipwreck prince ship donkey kingdom theatreplay transformation conciliation tricks heirtothethrone assault boardingschool coupd'etat teacher bestfriend dragon cowardliness pregnancy capture duringcreditsstinger,DreamWorksSKG DreamWorksAnimation,UnitedStatesofAmerica,Shrek the Third
107,PaulaPatton TravisFimmel BenFoster RobertKazinsky,Action Adventure Fantasy,videogame elves orcs magic chase basedoncomicbook sorcerer fictionalwar basedonvideogame wizard fictionallanguage muscles orc swordandsorcery,UniversalPictures AtlasEntertainment LegendaryPictures BlizzardEntertainment,Canada China Japan UnitedStatesofAmerica,Warcraft
108,ArnoldSchwarzenegger JasonClarke EmiliaClarke JaiCourtney,ScienceFiction Action Thriller Adventure,savingtheworld artificialintelligence cyborg killerrobot future timetravel dystopia sequel fiction duringcreditsstinger 3d,ParamountPictures AnnapurnaPictures SkydanceMedia,UnitedStatesofAmerica,Terminator Genisys
109,SkandarKeynes GeorgieHenley SimonPegg GarySweet,Adventure Family Fantasy,basedonnovel magic goodvsevil king narnia fantasyworld knifeheldtothroat snowing quest,DuneEntertainment Fox2000Pictures WaldenMedia,UnitedStatesofAmerica,The Chronicles of Narnia: The Voyage of the Dawn Treader
110,BenAffleck JoshHartnett KateBeckinsale CubaGoodingJr.,History Romance War,nurse patriotism hawaii worldwarii pilot pearlharbor u.s.airforce airplane war army love pin-up,JerryBruckheimerFilms TouchstonePictures,UnitedStatesofAmerica,Pearl Harbor
111,ShiaLaBeouf JoshDuhamel MeganFox RachaelTaylor,Adventure ScienceFiction Action,destroy transformation alien basedontoy transformers robot duringcreditsstinger teenagehero,ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes thinkfilm SprocketHeads HasbroStudios RevolutionSunStudios,UnitedStatesofAmerica,Transformers
112,ColinFarrell AngelinaJolie ValKilmer JaredLeto,War History Action Adventure Drama Romance,aristotle egypt greece persia elephant campaign alexanderthegreat homosexuality gayrelationship ancientworld,France3Cinéma IntermediaFilms PathéRennProductions EgmondFilm&Television WarnerBros. PacificaFilm IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG WRUniversalGroup,France Germany Italy Netherlands UnitedKingdom UnitedStatesofAmerica,Alexander
113,DanielRadcliffe RupertGrint EmmaWatson MichaelGambon,Adventure Fantasy Family Mystery,prophecy witch lossoflover magic cuttingthecord childhero dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft blackmagic deathofafriend sorcery occultism,WarnerBros. HeydayFilms,UnitedKingdom UnitedStatesofAmerica,Harry Potter and the Order of the Phoenix
114,DanielRadcliffe RupertGrint EmmaWatson RalphFiennes,Adventure Fantasy Family,magic dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft chosenone blackmagic boardingschool vision tournament teenager wizard teenagehero basedonyoungadultnovel,PatalexIVProductionsLimited WarnerBros. HeydayFilms,UnitedKingdom UnitedStatesofAmerica,Harry Potter and the Goblet of Fire
115,WillSmith CharlizeTheron JasonBateman JaeHead,Fantasy Action,flying alcohol loveofone'slife forbiddenlove lovers affection advertisingexpert alcoholism invulnerability superhero pokies duringcreditsstinger,ColumbiaPictures WeedRoadPictures ForwardPass RelativityMedia OverbrookEntertainment BlueLight GHThree,UnitedStatesofAmerica,Hancock
116,WillSmith AliceBraga CharlieTahan SalliRichardson-Whitfield,Drama Horror Action Thriller ScienceFiction,savingtheworld lostcivilisation post-apocalyptic dystopia matteroflifeanddeath alone helplessness virus pandemic,VillageRoadshowPictures OriginalFilm WeedRoadPictures WarnerBros. HeydayFilms OverbrookEntertainment,UnitedStatesofAmerica,I Am Legend
117,JohnnyDepp FreddieHighmore DavidKelly AnnaSophiaRobb,Adventure Comedy Family Fantasy,londonengland fathersonrelationship chocolate factoryworker basedonnovel parentskidsrelationship candy overweightchild grandfathergrandsonrelationship teacher,VillageRoadshowPictures TheZanuckCompany WarnerBros. TimBurtonProductions PlanBEntertainment TheobaldFilmProductions,Australia UnitedKingdom UnitedStatesofAmerica,Charlie and the Chocolate Factory
118,PattonOswalt IanHolm LouRomano BrianDennehy,Animation Comedy Family Fantasy,paris brotherbrotherrelationship expensiverestaurant river cook mouse confidence roof window leavingone'sfamily work restaurantcritic kitchen spice court cookbook family chef rat,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,Ratatouille
119,ChristianBale MichaelCaine LiamNeeson KatieHolmes,Action Crime Drama,himalaya martialarts dccomics crimefighter secretidentity undercover hero lossoffather society gothamcity vigilante superhero basedoncomicbook rivalry tragichero ninja goodvsevil crime superpowers hauntedbythepast evildoctor escapade mastervillain fightingcrime unfulfillment loveandromance unfulfilledlove,DCComics LegendaryPictures WarnerBros. DCEntertainment Syncopy PatalexIIIProductionsLimited,UnitedKingdom UnitedStatesofAmerica,Batman Begins
120,BenStiller JadaPinkettSmith DavidSchwimmer ChrisRock,Family Animation,africa jealousy dance hunger lion zoo hippopotamus chimp penguin volcano madagascar airplane zebra sequel shark imax duringcreditsstinger,DreamWorksAnimation,UnitedStatesofAmerica,Madagascar: Escape 2 Africa
121,BenStiller AmyAdams OwenWilson HankAzaria,Adventure Fantasy Action Comedy Family,museum theodoreroosevelt duringcreditsstinger ameliaearhart smithsonian,TwentiethCenturyFoxFilmCorporation 1492Pictures DuneEntertainment 21LapsEntertainment MuseumCanadaProductions MovingPictureCompany(MPC),UnitedStatesofAmerica Canada,Night at the Museum: Battle of the Smithsonian
122,HughJackman LievSchreiber DannyHuston LynnCollins,Adventure Action Thriller ScienceFiction,corruption mutant boxer army marvelcomic superhero aftercreditsstinger duringcreditsstinger,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment SeedProductions BadHatHarryProductions BigScreenProductions MarvelEnterprises,UnitedStatesofAmerica,X-Men Origins: Wolverine
123,KeanuReeves LaurenceFishburne Carrie-AnneMoss HugoWeaving,Adventure Action Thriller ScienceFiction,savingtheworld artificialintelligence manvsmachine flying philosophy fortuneteller kungfu undergroundworld killerrobot temple subway dream sun hero fight sunlight computervirus key future precognition supercomputer machinetown yingyang dyinganddeath virtualreality dystopia computer faith worldreligion truth rescue mission cyberpunk womandirector yinyang gnosticism,VillageRoadshowPictures NPVEntertainment SilverPictures WarnerBros.,UnitedStatesofAmerica Australia,The Matrix Revolutions
124,KristenBell IdinaMenzel JonathanGroff JoshGad,Animation Adventure Family,queen musical princess betrayal snowman animation reindeer curse snow troll mountainclimber aftercreditsstinger womandirector 3d,WaltDisneyPictures WaltDisneyAnimationStudios,UnitedStatesofAmerica,Frozen
125,KeanuReeves Carrie-AnneMoss LaurenceFishburne HugoWeaving,Adventure Action Thriller ScienceFiction,savingtheworld artificialintelligence manvsmachine martialarts kungfu undergroundworld dream hero fight computervirus key future plato precognition rave dyinganddeath virtualreality dystopia computer faith worldreligion truth mission cyberpunk womandirector gnosticism,VillageRoadshowPictures NPVEntertainment HeinekenBrandedEntertainment SilverPictures WarnerBros.,Australia UnitedStatesofAmerica,The Matrix Reloaded
126,ChrisHemsworth NataliePortman TomHiddleston AnthonyHopkins,Action Adventure Fantasy,marvelcomic superhero basedoncomicbook hostiletakeover norsemythology aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d asgard,MarvelStudios,UnitedStatesofAmerica,Thor: The Dark World
127,TomHardy CharlizeTheron NicholasHoult HughKeays-Byrne,Action Adventure ScienceFiction Thriller,future chase post-apocalyptic dystopia australia rescue survival ontherun convoy peakoil darkfuture,VillageRoadshowPictures KennedyMillerProductions WarnerBros.,Australia UnitedStatesofAmerica,Mad Max: Fury Road
128,TomHanks EwanMcGregor AyeletZurer StellanSkarsgård,Thriller Mystery,rome vatican basedonnovel symbolism christian illuminati quantummechanics prequel antimatter conspiracy investigator catholicism cern,ColumbiaPictures ImagineEntertainment PanoramaFilms SkylarkProductions,Italy UnitedStatesofAmerica,Angels & Demons
129,ChrisHemsworth NataliePortman TomHiddleston AnthonyHopkins,Adventure Fantasy Action,newmexico banishment shield marvelcomic hammer superhero basedoncomicbook redemption norsemythology aftercreditsstinger marvelcinematicuniverse 3d asgard odin heimdall,MarvelStudios,UnitedStatesofAmerica,Thor
130,JohnTravolta MileyCyrus SusieEssman MarkWalton,Animation Family Adventure Comedy,hamster kidsandfamily animal catvsdog duringcreditsstinger dogcatfriendship animallead girldogrelationship,WaltDisneyAnimationStudios,UnitedStatesofAmerica,Bolt
131,SamRockwell PenélopeCruz TracyMorgan JonFavreau,Fantasy Action Adventure Family Comedy,dyr duringcreditsstinger,WaltDisneyPictures JerryBruckheimerFilms WhamaphramProductions,UnitedStatesofAmerica,G-Force
132,SamWorthington LiamNeeson RalphFiennes EdgarRamírez,Adventure,underworld hades mythology greekmythology zeus perseus gods ancientgreece basedongreekmyth ares 3d,LegendaryPictures ThunderRoadPictures WarnerBros. CottProductions FuriadeTitanesII A.I.E.,Spain UnitedStatesofAmerica,Wrath of the Titans
133,JohnnyDepp MichellePfeiffer HelenaBonhamCarter JackieEarleHaley,Comedy Fantasy,witch imprisonment vampire curse fishoutofwater chains gothic madness oldhouse lostlove angrymob 18thcentury ghost hiddenroom oldmansion,VillageRoadshowPictures InfinitumNihil GKFilms WarnerBros. TimBurtonProductions DanCurtisProductions ZanuckCompany The,Australia UnitedStatesofAmerica,Dark Shadows
134,TomCruise RebeccaFerguson SimonPegg JeremyRenner,Action Adventure Thriller,londonengland spy austria villain sequel mission conspiracy viennaopera vienna,ParamountPictures SkydanceProductions ChinaMovieChannel BadRobot TCProductions AlibabaPicturesGroup Odin,China UnitedStatesofAmerica,Mission: Impossible - Rogue Nation
135,BeniciodelToro AnthonyHopkins EmilyBlunt HugoWeaving,Drama Horror Thriller,fathersonrelationship victorianengland remake ruralsetting werewolf,UniversalPictures StuberProductions RelativityMedia,UnitedStatesofAmerica,The Wolfman
136,JerrySeinfeld RenéeZellweger JimCummings MatthewBroderick,Family Animation Adventure Comedy,factoryworker tennis flower florist flowershop pilot college airplane beehive court aftercreditsstinger,PacificDataImages(PDI) DreamWorksAnimation Columbus81Productions,UnitedStatesofAmerica,Bee Movie
137,JackBlack AngelinaJolie DustinHoffman GaryOldman,Animation Family,martialarts hope fleet panda mission womandirector,DreamWorksAnimation,UnitedStatesofAmerica,Kung Fu Panda 2
138,NoahRinger NicolaPeltz JacksonRathbone DevPatel,Action Adventure Family Fantasy,fire ice warship prince kingdom water village arrest remake attack avatar air spirit world domination cheering,ParamountPictures NickelodeonMovies Kennedy/MarshallCompany The IndustrialLight&Magic(ILM) BlindingEdgePictures,UnitedStatesofAmerica,The Last Airbender
139,TomCruise PhilipSeymourHoffman VingRhames BillyCrudup,Adventure Action Thriller,berlin cia vatican whitehouse secretidentity secret explosive mobilephone map traitor mask honeymoon shanghai pretendedmurder secretmission letter funeral coveredinvestigation toshootdead secretagent video stamp harddrive e-mail decipherment suitcase computer revenge murder mission hospital duel disguise celebration goodandbad researchlaboratory blast,ParamountPictures Cruise/WagnerProductions StudioBabelsberg MI3Film ChinaFilmCo-ProductionCorporation ChinaFilmGroupCorporation(CFGC) TheFourthProductionCompanyFilmGroup,China Germany UnitedStatesofAmerica,Mission: Impossible III
